,date,actual,predicted,error,percentage_change,meanval,deviation,-3s,3s,-2s,2s,-1s,1s,impact,color,region,anomaly_points
33,2021-04-14,166.52999877929688,138.49031883830088,28.039679940995995,16.837614932164346,-1.609390889777836,14.198015893626458,-30.00542267703075,26.78664089747508,-26.455918703624135,23.237136924068466,-22.90641473021752,19.68763295066185,7,3,POSITIVE,28.039679940995995
47,2021-03-24,120.33999633789062,180.01257478905856,-59.67257845116794,-49.58665470091862,-12.23501658140986,21.42084451316749,-55.07670560774484,30.606672444925124,-49.72149447945297,25.251461316633254,-44.366283351161094,19.896250188341376,0,3,NEGATIVE,-59.67257845116794
59,2021-03-08,194.5,138.13713883050448,56.36286116949552,28.978334791514403,11.589790578000429,21.169584109146065,-30.7493776402917,53.92895879629256,-25.456981613005187,48.63656276900605,-20.16458558571867,43.344166741719526,7,3,POSITIVE,56.36286116949552
67,2021-02-24,91.70999908447266,46.15134175340335,45.558657331069305,49.676870336794934,5.540721695282017,18.028941334072254,-30.51716097286249,41.598604363426524,-26.009925639344427,37.09136902990846,-21.502690305826363,32.584133696390396,7,3,POSITIVE,45.558657331069305
86,2021-01-27,347.510009765625,154.7036108045878,192.8063989610372,55.48225764520387,43.774454142598096,70.01351238260774,-96.25257062261738,183.8014789078136,-78.74919252696546,166.29810081216164,-61.24581443131351,148.7947227165097,7,3,POSITIVE,192.8063989610372
87,2021-01-26,147.97999572753906,77.44905139016979,70.53094433736928,47.66248572356424,15.582035770112856,25.727680952732847,-35.87332613535284,67.03739767557855,-29.441405897169627,60.605477437395336,-23.009485658986417,54.17355719921213,7,3,POSITIVE,70.53094433736928
95,2021-01-13,31.399999618530273,19.97154164906466,11.428457969465615,36.39636340225071,2.0129471679524076,4.255239986412892,-6.4975328048733765,10.523427140778193,-5.433722808270154,9.459617144174969,-4.36991281166693,8.395807147571746,7,3,POSITIVE,11.428457969465615
