,date,actual,predicted,error,percentage_change,meanval,deviation,-3s,3s,-2s,2s,-1s,1s,impact,color,region,anomaly_points
21,2021-07-09,205.94000244140625,199.6741291802099,6.2658732611963615,3.042572199142864,-3.2058762313755063,4.547984910087556,-12.30184605155062,5.890093588799606,-11.164849824028728,4.7530973612777165,-10.02785359650684,3.6161011337558273,7,3,POSITIVE,6.2658732611963615
60,2021-05-13,206.0800018310547,219.76730282794566,-13.687300996890968,-6.641741496155401,-2.9812379493601293,5.242051900234449,-13.465341749829026,7.502865851108768,-12.154828774770415,6.192352876050156,-10.844315799711802,4.881839900991544,0,3,NEGATIVE,-13.687300996890968
83,2021-04-12,244.00999450683594,223.15051008623067,20.85948442060527,8.54861886406087,2.603934766335645,8.949513481975863,-15.295092197616082,20.50296173028737,-13.057713827122116,18.265583359793407,-10.82033545662815,16.02820498929944,7,3,POSITIVE,20.85948442060527
