    ,date      ,close             ,volume
1311,2021-02-05,240.3800048828125 ,5090800
1323,2021-02-24,237.32000732421875,26123100
1330,2021-03-05,216.44000244140625,24773600
1338,2021-03-17,246.47000122070312,10154000
1340,2021-03-19,224.83999633789062,10480800
1350,2021-04-05,229.9499969482422 ,7535000
1356,2021-04-13,273.2300109863281 ,10561700
1370,2021-05-03,243.67999267578125,5268800
1372,2021-05-05,231.8699951171875 ,3792900
1378,2021-05-13,197.1300048828125 ,21397100
