,date,actual,predicted,error,percentage_change,meanval,deviation,-3s,3s,-2s,2s,-1s,1s,impact,color,region,anomaly_points
14,2021-04-30,55.220001220703125,64.96978811031313,-9.749786889610007,-17.656259822672023,-1.5942491552546747,3.929759434998226,-9.453768025251128,6.265269714741778,-8.471328166501571,5.2828298559922215,-7.488888307752013,4.3003899972426645,0,3,NEGATIVE,-9.749786889610007
69,2021-02-10,67.7699966430664,59.771505417689795,7.998491225376611,11.802407586801825,2.2537504244674094,2.5996643251099707,-2.945578225752532,7.45307907468735,-2.2956621444750396,6.803162993409858,-1.6457460631975467,6.153246912132365,7,3,POSITIVE,7.998491225376611
90,2021-01-11,48.18000030517578,51.38167988241998,-3.2016795772441995,-6.645246070910166,,,,,,,,,0,3,NEGATIVE,-3.2016795772441995
91,2021-01-08,51.47999954223633,52.24045646386151,-0.7604569216251846,-1.4771890605812346,,,,,,,,,0,3,NEGATIVE,-0.7604569216251846
92,2021-01-07,52.33000183105469,53.160385051664306,-0.8303832206096189,-1.5868205456794706,,,,,,,,,0,3,NEGATIVE,-0.8303832206096189
93,2021-01-06,53.2599983215332,53.8157786817351,-0.5557803602018936,-1.0435230524166008,,,,,,,,,0,3,NEGATIVE,-0.5557803602018936
94,2021-01-05,53.880001068115234,54.415448253657665,-0.5354471855424308,-0.9937772363172692,,,,,,,,,0,3,NEGATIVE,-0.5354471855424308
95,2021-01-04,54.529998779296875,54.056313698392415,0.4736850809044597,0.8686687905892662,,,,,,,,,0,3,NEGATIVE,0.4736850809044597
