,date,close,volume
2647,2021-01-04,729.77001953125,48638200
2648,2021-01-05,735.1099853515625,32245200
2649,2021-01-06,755.97998046875,44700000
2650,2021-01-07,816.0399780273438,51498900
2651,2021-01-08,880.02001953125,75055500
2652,2021-01-11,811.1900024414062,59301600
2653,2021-01-12,849.4400024414062,46270700
2654,2021-01-13,854.4099731445312,33312500
2655,2021-01-14,845.0,31266300
2656,2021-01-15,826.1599731445312,38777600
2657,2021-01-19,844.5499877929688,25367000
2658,2021-01-20,850.4500122070312,25665900
2659,2021-01-21,844.989990234375,20521100
2660,2021-01-22,846.6400146484375,20066500
2661,2021-01-25,880.7999877929688,41173400
2662,2021-01-26,883.0900268554688,23131600
2663,2021-01-27,864.1599731445312,27334000
2664,2021-01-28,835.4299926757812,26378000
2665,2021-01-29,793.530029296875,34990800
2666,2021-02-01,839.8099975585938,25391400
2667,2021-02-02,872.7899780273438,24346200
2668,2021-02-03,854.6900024414062,18343500
2669,2021-02-04,849.989990234375,15812700
2670,2021-02-05,852.22998046875,18566600
2671,2021-02-08,863.4199829101562,20161700
2672,2021-02-09,849.4600219726562,15157700
2673,2021-02-10,804.8200073242188,36216100
2674,2021-02-11,811.6599731445312,21622800
2675,2021-02-12,816.1199951171875,23768300
2676,2021-02-16,796.219970703125,19802300
2677,2021-02-17,798.1500244140625,25996500
2678,2021-02-18,787.3800048828125,17957100
2679,2021-02-19,781.2999877929688,18958300
2680,2021-02-22,714.5,37269700
2681,2021-02-23,698.8400268554688,66606900
2682,2021-02-24,742.02001953125,36767000
2683,2021-02-25,682.219970703125,39023900
2684,2021-02-26,675.5,41089200
2685,2021-03-01,718.4299926757812,27136200
2686,2021-03-02,686.4400024414062,23732200
2687,2021-03-03,653.2000122070312,30208000
2688,2021-03-04,621.4400024414062,65919500
2689,2021-03-05,597.9500122070312,89396500
2690,2021-03-08,563.0,51787000
2691,2021-03-09,673.5800170898438,67523300
2692,2021-03-10,668.0599975585938,60605700
2693,2021-03-11,699.5999755859375,36253900
2694,2021-03-12,693.72998046875,33583800
2695,2021-03-15,707.9400024414062,29335600
2696,2021-03-16,676.8800048828125,32195700
2697,2021-03-17,701.8099975585938,40372500
2698,2021-03-18,653.1599731445312,33224800
2699,2021-03-19,654.8699951171875,42894000
2700,2021-03-22,670.0,39512200
2701,2021-03-23,662.1599731445312,30491900
2702,2021-03-24,630.27001953125,33795200
2703,2021-03-25,640.3900146484375,39224900
2704,2021-03-26,618.7100219726562,33852800
2705,2021-03-29,611.2899780273438,28637000
2706,2021-03-30,635.6199951171875,39432400
