,date,actual,predicted,error,percentage_change,meanval,deviation,-3s,3s,-2s,2s,-1s,1s,impact,color,region,anomaly_points
33,2021-04-14,258.3999938964844,273.30955395640984,-14.909560059925468,-5.769953719851198,3.690629782121379,8.977995256637966,-14.265360731154553,21.646620295397312,-12.020861916995061,19.40212148123782,-9.77636310283557,17.15762266707833,0,3,NEGATIVE,-14.909560059925468
85,2021-01-28,219.91000366210938,201.7668251072783,18.14317855483108,8.250274317992366,-0.7501061580682469,9.254598870735817,-19.25930389953988,17.75909158340339,-16.945654181855925,15.445441865719433,-14.632004464171972,13.131792148035478,7,3,POSITIVE,18.14317855483108
