,threshold,precision,recall,f1-score,f0.5-score,w-precision,w-recall,w-f1-score,w-f0.5-score
0,0.0,0.7638888888888888,0.4878048780487805,0.5953991880920162,0.6862133499688085,0.6418883989781862,0.5462822458270106,0.5601096406270035,0.6002036878485545
1,0.01,0.7638888888888888,0.4878048780487805,0.5953991880920162,0.6862133499688085,0.6418883989781862,0.5462822458270106,0.5601096406270035,0.6002036878485545
2,0.02,0.7638888888888888,0.4878048780487805,0.5953991880920162,0.6862133499688085,0.6418883989781862,0.5462822458270106,0.5601096406270035,0.6002036878485545
3,0.03,0.7638888888888888,0.4878048780487805,0.5953991880920162,0.6862133499688085,0.6418883989781862,0.5462822458270106,0.5601096406270035,0.6002036878485545
4,0.04,0.7638888888888888,0.4878048780487805,0.5953991880920162,0.6862133499688085,0.6418883989781862,0.5462822458270106,0.5601096406270035,0.6002036878485545
5,0.05,0.7638888888888888,0.4878048780487805,0.5953991880920162,0.6862133499688085,0.6418883989781862,0.5462822458270106,0.5601096406270035,0.6002036878485545
6,0.06,0.7638888888888888,0.4878048780487805,0.5953991880920162,0.6862133499688085,0.6418883989781862,0.5462822458270106,0.5601096406270035,0.6002036878485545
7,0.07,0.7638888888888888,0.4878048780487805,0.5953991880920162,0.6862133499688085,0.6418883989781862,0.5462822458270106,0.5601096406270035,0.6002036878485545
8,0.08,0.7638888888888888,0.4878048780487805,0.5953991880920162,0.6862133499688085,0.6418883989781862,0.5462822458270106,0.5601096406270035,0.6002036878485545
9,0.09,0.7638888888888888,0.4878048780487805,0.5953991880920162,0.6862133499688085,0.6418883989781862,0.5462822458270106,0.5601096406270035,0.6002036878485545
10,0.1,0.7638888888888888,0.4878048780487805,0.5953991880920162,0.6862133499688085,0.6418883989781862,0.5462822458270106,0.5601096406270035,0.6002036878485545
11,0.11,0.7638888888888888,0.4878048780487805,0.5953991880920162,0.6862133499688085,0.6418883989781862,0.5462822458270106,0.5601096406270035,0.6002036878485545
12,0.12,0.7638888888888888,0.4878048780487805,0.5953991880920162,0.6862133499688085,0.6418883989781862,0.5462822458270106,0.5601096406270035,0.6002036878485545
13,0.13,0.7638888888888888,0.4878048780487805,0.5953991880920162,0.6862133499688085,0.6418883989781862,0.5462822458270106,0.5601096406270035,0.6002036878485545
14,0.14,0.7638888888888888,0.4878048780487805,0.5953991880920162,0.6862133499688085,0.6418883989781862,0.5462822458270106,0.5601096406270035,0.6002036878485545
15,0.15,0.7638888888888888,0.4878048780487805,0.5953991880920162,0.6862133499688085,0.6418883989781862,0.5462822458270106,0.5601096406270035,0.6002036878485545
16,0.16,0.7638888888888888,0.4878048780487805,0.5953991880920162,0.6862133499688085,0.6418883989781862,0.5462822458270106,0.5601096406270035,0.6002036878485545
17,0.17,0.7638888888888888,0.4878048780487805,0.5953991880920162,0.6862133499688085,0.6418883989781862,0.5462822458270106,0.5601096406270035,0.6002036878485545
18,0.18,0.7638888888888888,0.4878048780487805,0.5953991880920162,0.6862133499688085,0.6418883989781862,0.5462822458270106,0.5601096406270035,0.6002036878485545
19,0.19,0.7638888888888888,0.4878048780487805,0.5953991880920162,0.6862133499688085,0.6418883989781862,0.5462822458270106,0.5601096406270035,0.6002036878485545
20,0.2,0.7638888888888888,0.4878048780487805,0.5953991880920162,0.6862133499688085,0.6418883989781862,0.5462822458270106,0.5601096406270035,0.6002036878485545
21,0.21,0.7638888888888888,0.4878048780487805,0.5953991880920162,0.6862133499688085,0.6418883989781862,0.5462822458270106,0.5601096406270035,0.6002036878485545
22,0.22,0.7638888888888888,0.4878048780487805,0.5953991880920162,0.6862133499688085,0.6418883989781862,0.5462822458270106,0.5601096406270035,0.6002036878485545
23,0.23,0.7638888888888888,0.4878048780487805,0.5953991880920162,0.6862133499688085,0.6418883989781862,0.5462822458270106,0.5601096406270035,0.6002036878485545
24,0.24,0.7638888888888888,0.4878048780487805,0.5953991880920162,0.6862133499688085,0.6418883989781862,0.5462822458270106,0.5601096406270035,0.6002036878485545
25,0.25,0.7638888888888888,0.4878048780487805,0.5953991880920162,0.6862133499688085,0.6418883989781862,0.5462822458270106,0.5601096406270035,0.6002036878485545
26,0.26,0.7638888888888888,0.4878048780487805,0.5953991880920162,0.6862133499688085,0.6418883989781862,0.5462822458270106,0.5601096406270035,0.6002036878485545
27,0.27,0.7638888888888888,0.4878048780487805,0.5953991880920162,0.6862133499688085,0.6418883989781862,0.5462822458270106,0.5601096406270035,0.6002036878485545
28,0.28,0.7638888888888888,0.4878048780487805,0.5953991880920162,0.6862133499688085,0.6418883989781862,0.5462822458270106,0.5601096406270035,0.6002036878485545
29,0.29,0.7638888888888888,0.4878048780487805,0.5953991880920162,0.6862133499688085,0.6418883989781862,0.5462822458270106,0.5601096406270035,0.6002036878485545
30,0.3,0.7638888888888888,0.4878048780487805,0.5953991880920162,0.6862133499688085,0.6418883989781862,0.5462822458270106,0.5601096406270035,0.6002036878485545
31,0.31,0.7638888888888888,0.4878048780487805,0.5953991880920162,0.6862133499688085,0.6418883989781862,0.5462822458270106,0.5601096406270035,0.6002036878485545
32,0.32,0.7638888888888888,0.4878048780487805,0.5953991880920162,0.6862133499688085,0.6418883989781862,0.5462822458270106,0.5601096406270035,0.6002036878485545
33,0.33,0.7638888888888888,0.4878048780487805,0.5953991880920162,0.6862133499688085,0.6418883989781862,0.5462822458270106,0.5601096406270035,0.6002036878485545
34,0.34,0.7638888888888888,0.4878048780487805,0.5953991880920162,0.6862133499688085,0.6418883989781862,0.5462822458270106,0.5601096406270035,0.6002036878485545
