,threshold,precision,recall,f1-score,f0.5-score,w-precision,w-recall,w-f1-score,w-f0.5-score
0,0.0,0.6530612244897959,0.07095343680709534,0.128,0.2472952086553323,0.5457640077349878,0.33839150227617604,0.23499616741673499,0.28307320917107154
1,0.02,0.6530612244897959,0.07095343680709534,0.128,0.2472952086553323,0.5457640077349878,0.33839150227617604,0.23499616741673499,0.28307320917107154
2,0.04,0.6530612244897959,0.07095343680709534,0.128,0.2472952086553323,0.5457640077349878,0.33839150227617604,0.23499616741673499,0.28307320917107154
3,0.06,0.6530612244897959,0.07095343680709534,0.128,0.2472952086553323,0.5457640077349878,0.33839150227617604,0.23499616741673499,0.28307320917107154
4,0.08,0.6470588235294118,0.07317073170731707,0.1314741035856574,0.2519083969465649,0.5414621083638311,0.33839150227617604,0.23696140487886297,0.2859774990461087
5,0.1,0.6538461538461539,0.07538802660753881,0.13518886679920478,0.25796661608497723,0.5462696500825263,0.33990895295902884,0.23968402734213337,0.29029591439643915
6,0.12,0.660377358490566,0.07760532150776053,0.1388888888888889,0.26395173453996984,0.550902443294978,0.34142640364188165,0.24239700453660998,0.29456482567446385
7,0.14,0.6666666666666666,0.07982261640798226,0.14257425742574256,0.2698650674662669,0.5553702287044817,0.34294385432473445,0.2451003980284248,0.29878513532502116
8,0.16,0.6545454545454545,0.07982261640798226,0.14229249011857706,0.2682563338301043,0.5467163774130983,0.34142640364188165,0.24431183497780698,0.29725666637745507
9,0.18,0.6607142857142857,0.082039911308204,0.14595660749506906,0.2740740740740741,0.5511019312714555,0.34294385432473445,0.24700062066540296,0.30141169676899265
10,0.2,0.6551724137931034,0.08425720620842572,0.14931237721021612,0.2781844802342606,0.5471132784030522,0.34294385432473445,0.24888060277219337,0.30396922336369886
11,0.22,0.6551724137931034,0.08425720620842572,0.14931237721021612,0.2781844802342606,0.5471132784030522,0.34294385432473445,0.24888060277219337,0.30396922336369886
12,0.24,0.6551724137931034,0.08425720620842572,0.14931237721021612,0.2781844802342606,0.5471132784030522,0.34294385432473445,0.24888060277219337,0.30396922336369886
13,0.26,0.6666666666666666,0.08869179600886919,0.15655577299412915,0.2894356005788712,0.5553092618535529,0.34597875569044007,0.25420132541254964,0.3120181202854886
14,0.28,0.6612903225806451,0.09090909090909091,0.1598440545808967,0.2932761087267525,0.5514330262436893,0.34597875569044007,0.2560329187567601,0.31438964988323753
15,0.3,0.6865671641791045,0.10199556541019955,0.1776061776061776,0.3198887343532684,0.569566758342153,0.3535660091047041,0.26910528998541144,0.3334851496255872
16,0.32,0.6901408450704225,0.10864745011086474,0.18773946360153257,0.3333333333333333,0.5721539294296016,0.3566009104704097,0.2759886619651669,0.3427857865452706
17,0.34,0.6944444444444444,0.11086474501108648,0.19120458891013387,0.3382949932341001,0.5752692735337701,0.3581183611532625,0.2785456319958465,0.3463608393357937
18,0.36,0.7105263157894737,0.1197339246119734,0.2049335863377609,0.3576158940397351,0.5869614176827869,0.36418816388467373,0.2886882061348731,0.36030690216522177
19,0.38,0.725,0.1286031042128603,0.2184557438794727,0.37613488975356685,0.5975624474199407,0.37025796661608495,0.29869681714304414,0.37371333663828116
20,0.4,0.7325581395348837,0.13968957871396895,0.23463687150837986,0.3962264150943396,0.6032458934633713,0.37632776934749623,0.3101085917402267,0.38794857846365277
21,0.42,0.7386363636363636,0.14412416851441243,0.24118738404452691,0.4047322540473226,0.6077625840776637,0.37936267071320184,0.31497547037850476,0.3941446269736928
22,0.44,0.7549019607843137,0.17073170731707318,0.2784810126582279,0.4481955762514551,0.6203312697350184,0.3945371775417299,0.3415912931700407,0.4252872286906529
23,0.46,0.7711864406779662,0.2017738359201774,0.3198594024604569,0.49295774647887325,0.6333759234359393,0.41274658573596357,0.3714496137323004,0.4577892780249837
24,0.48,0.7938931297709924,0.23059866962305986,0.3573883161512028,0.5333333333333333,0.651515678042106,0.4324734446130501,0.39982773658616005,0.4881202797690684
25,0.5,0.8027210884353742,0.2616407982261641,0.3946488294314381,0.5678537054860444,0.6597055552114625,0.45068285280728376,0.42702404293748225,0.5138387734000909
26,0.52,0.8129032258064516,0.2793791574279379,0.4158415841584158,0.5882352941176471,0.66842544872796,0.4628224582701062,0.44329108363940345,0.5295890039731136
27,0.54,0.8181818181818182,0.29933481152993346,0.43831168831168826,0.6075607560756074,0.673668237361233,0.47496206373292865,0.46003042930205296,0.5444185216267128
28,0.56,0.8176795580110497,0.328159645232816,0.46835443037974683,0.6297872340425532,0.6751503919241976,0.49013657056145676,0.4815634250088887,0.5612793613914493
29,0.58,0.8148148148148148,0.34146341463414637,0.48125,0.6379453189726595,0.6738136321838255,0.496206373292868,0.49042677181391314,0.5673473766800431
30,0.6,0.8205128205128205,0.35476718403547675,0.4953560371517028,0.6498781478472786,0.6792154873887908,0.5053110773899848,0.5015186811087344,0.5770342751362391
31,0.62,0.8221153846153846,0.37915742793791574,0.5189681335356601,0.666406858924396,0.6823046790176402,0.5189681335356601,0.5189681335356601,0.5901959869540753
32,0.64,0.8181818181818182,0.3991130820399113,0.5365126676602087,0.67618332081142,0.6807269936847782,0.5280728376327769,0.5310861308883206,0.5977541443828106
33,0.66,0.7984189723320159,0.44789356984478934,0.5738636363636364,0.6903622693096376,0.6684680638219803,0.5447647951441578,0.5541484605536965,0.6077086813554351
