,threshold,precision,recall,f1-score,f0.5-score,w-precision,w-recall,w-f1-score,w-f0.5-score
0,0.0,0.9050772626931567,0.4904306220095694,0.6361520558572538,0.7741691842900301,0.7785442632132069,0.5541825095057035,0.5927031674844074,0.683209916002483
1,0.01,0.9050772626931567,0.4904306220095694,0.6361520558572538,0.7741691842900301,0.7785442632132069,0.5541825095057035,0.5927031674844074,0.683209916002483
2,0.02,0.9050772626931567,0.4904306220095694,0.6361520558572538,0.7741691842900301,0.7785442632132069,0.5541825095057035,0.5927031674844074,0.683209916002483
3,0.03,0.9050772626931567,0.4904306220095694,0.6361520558572538,0.7741691842900301,0.7785442632132069,0.5541825095057035,0.5927031674844074,0.683209916002483
4,0.04,0.9050772626931567,0.4904306220095694,0.6361520558572538,0.7741691842900301,0.7785442632132069,0.5541825095057035,0.5927031674844074,0.683209916002483
5,0.05,0.9050772626931567,0.4904306220095694,0.6361520558572538,0.7741691842900301,0.7785442632132069,0.5541825095057035,0.5927031674844074,0.683209916002483
6,0.06,0.9050772626931567,0.4904306220095694,0.6361520558572538,0.7741691842900301,0.7785442632132069,0.5541825095057035,0.5927031674844074,0.683209916002483
7,0.07,0.9050772626931567,0.4904306220095694,0.6361520558572538,0.7741691842900301,0.7785442632132069,0.5541825095057035,0.5927031674844074,0.683209916002483
8,0.08,0.9050772626931567,0.4904306220095694,0.6361520558572538,0.7741691842900301,0.7785442632132069,0.5541825095057035,0.5927031674844074,0.683209916002483
9,0.09,0.9050772626931567,0.4904306220095694,0.6361520558572538,0.7741691842900301,0.7785442632132069,0.5541825095057035,0.5927031674844074,0.683209916002483
10,0.1,0.9050772626931567,0.4904306220095694,0.6361520558572538,0.7741691842900301,0.7785442632132069,0.5541825095057035,0.5927031674844074,0.683209916002483
11,0.11,0.9050772626931567,0.4904306220095694,0.6361520558572538,0.7741691842900301,0.7785442632132069,0.5541825095057035,0.5927031674844074,0.683209916002483
12,0.12,0.9050772626931567,0.4904306220095694,0.6361520558572538,0.7741691842900301,0.7785442632132069,0.5541825095057035,0.5927031674844074,0.683209916002483
13,0.13,0.9050772626931567,0.4904306220095694,0.6361520558572538,0.7741691842900301,0.7785442632132069,0.5541825095057035,0.5927031674844074,0.683209916002483
14,0.14,0.9050772626931567,0.4904306220095694,0.6361520558572538,0.7741691842900301,0.7785442632132069,0.5541825095057035,0.5927031674844074,0.683209916002483
15,0.15,0.9050772626931567,0.4904306220095694,0.6361520558572538,0.7741691842900301,0.7785442632132069,0.5541825095057035,0.5927031674844074,0.683209916002483
16,0.16,0.9050772626931567,0.4904306220095694,0.6361520558572538,0.7741691842900301,0.7785442632132069,0.5541825095057035,0.5927031674844074,0.683209916002483
17,0.17,0.9050772626931567,0.4904306220095694,0.6361520558572538,0.7741691842900301,0.7785442632132069,0.5541825095057035,0.5927031674844074,0.683209916002483
18,0.18,0.9050772626931567,0.4904306220095694,0.6361520558572538,0.7741691842900301,0.7785442632132069,0.5541825095057035,0.5927031674844074,0.683209916002483
19,0.19,0.9050772626931567,0.4904306220095694,0.6361520558572538,0.7741691842900301,0.7785442632132069,0.5541825095057035,0.5927031674844074,0.683209916002483
20,0.2,0.9050772626931567,0.4904306220095694,0.6361520558572538,0.7741691842900301,0.7785442632132069,0.5541825095057035,0.5927031674844074,0.683209916002483
21,0.21,0.9050772626931567,0.4904306220095694,0.6361520558572538,0.7741691842900301,0.7785442632132069,0.5541825095057035,0.5927031674844074,0.683209916002483
22,0.22,0.9050772626931567,0.4904306220095694,0.6361520558572538,0.7741691842900301,0.7785442632132069,0.5541825095057035,0.5927031674844074,0.683209916002483
23,0.23,0.9050772626931567,0.4904306220095694,0.6361520558572538,0.7741691842900301,0.7785442632132069,0.5541825095057035,0.5927031674844074,0.683209916002483
24,0.24,0.9050772626931567,0.4904306220095694,0.6361520558572538,0.7741691842900301,0.7785442632132069,0.5541825095057035,0.5927031674844074,0.683209916002483
25,0.25,0.9050772626931567,0.4904306220095694,0.6361520558572538,0.7741691842900301,0.7785442632132069,0.5541825095057035,0.5927031674844074,0.683209916002483
26,0.26,0.9050772626931567,0.4904306220095694,0.6361520558572538,0.7741691842900301,0.7785442632132069,0.5541825095057035,0.5927031674844074,0.683209916002483
27,0.27,0.9050772626931567,0.4904306220095694,0.6361520558572538,0.7741691842900301,0.7785442632132069,0.5541825095057035,0.5927031674844074,0.683209916002483
28,0.28,0.9050772626931567,0.4904306220095694,0.6361520558572538,0.7741691842900301,0.7785442632132069,0.5541825095057035,0.5927031674844074,0.683209916002483
29,0.29,0.9050772626931567,0.4904306220095694,0.6361520558572538,0.7741691842900301,0.7785442632132069,0.5541825095057035,0.5927031674844074,0.683209916002483
30,0.3,0.9050772626931567,0.4904306220095694,0.6361520558572538,0.7741691842900301,0.7785442632132069,0.5541825095057035,0.5927031674844074,0.683209916002483
31,0.31,0.9050772626931567,0.4904306220095694,0.6361520558572538,0.7741691842900301,0.7785442632132069,0.5541825095057035,0.5927031674844074,0.683209916002483
32,0.32,0.9050772626931567,0.4904306220095694,0.6361520558572538,0.7741691842900301,0.7785442632132069,0.5541825095057035,0.5927031674844074,0.683209916002483
33,0.33,0.9050772626931567,0.4904306220095694,0.6361520558572538,0.7741691842900301,0.7785442632132069,0.5541825095057035,0.5927031674844074,0.683209916002483
