,threshold,precision,recall,f1-score,f0.5-score,w-precision,w-recall,w-f1-score,w-f0.5-score
0,0.0,0.835820895522388,0.06698564593301436,0.12403100775193798,0.2536231884057971,0.7069397180394759,0.24809885931558937,0.16865824495052037,0.25218760721777395
1,0.01,0.835820895522388,0.06698564593301436,0.12403100775193798,0.2536231884057971,0.7069397180394759,0.24809885931558937,0.16865824495052037,0.25218760721777395
2,0.02,0.835820895522388,0.06698564593301436,0.12403100775193798,0.2536231884057971,0.7069397180394759,0.24809885931558937,0.16865824495052037,0.25218760721777395
3,0.03,0.835820895522388,0.06698564593301436,0.12403100775193798,0.2536231884057971,0.7069397180394759,0.24809885931558937,0.16865824495052037,0.25218760721777395
4,0.04,0.835820895522388,0.06698564593301436,0.12403100775193798,0.2536231884057971,0.7069397180394759,0.24809885931558937,0.16865824495052037,0.25218760721777395
5,0.05,0.8382352941176471,0.06818181818181818,0.1261061946902655,0.25722021660649824,0.7089018116752405,0.24904942965779467,0.170365759278576,0.25509486740018805
6,0.06,0.8382352941176471,0.06818181818181818,0.1261061946902655,0.25722021660649824,0.7089018116752405,0.24904942965779467,0.170365759278576,0.25509486740018805
7,0.07,0.8382352941176471,0.06818181818181818,0.1261061946902655,0.25722021660649824,0.7089018116752405,0.24904942965779467,0.170365759278576,0.25509486740018805
8,0.08,0.8405797101449275,0.06937799043062201,0.1281767955801105,0.2607913669064748,0.7108083801436006,0.25,0.17206972661379877,0.2579816571044033
9,0.09,0.8428571428571429,0.07057416267942583,0.130242825607064,0.26433691756272404,0.7126618071512095,0.2509505703422053,0.17377015926781614,0.2608481977272607
10,0.1,0.8428571428571429,0.07057416267942583,0.130242825607064,0.26433691756272404,0.7126618071512095,0.2509505703422053,0.17377015926781614,0.2608481977272607
11,0.11,0.8428571428571429,0.07057416267942583,0.130242825607064,0.26433691756272404,0.7126618071512095,0.2509505703422053,0.17377015926781614,0.2608481977272607
12,0.12,0.8450704225352113,0.07177033492822966,0.1323042998897464,0.26785714285714285,0.7144643421276955,0.25190114068441066,0.17546706949985078,0.26369470750773444
13,0.13,0.8472222222222222,0.0729665071770335,0.13436123348017623,0.27135231316725983,0.7162181095505374,0.25285171102661597,0.17716046951701733,0.26652140158314586
